[TRACE] 14:29:15:334 main.c/(2214:2214): ---------

[TRACE] 14:30:12:876 main.c/(2303:2303): ---------

[TRACE] 14:30:57:936 main.c/(2416:2416): ---------

[TRACE] 14:31:56:818 main.c/(2507:2507): ---------

[TRACE] 14:32:16:398 main.c/(2578:2578): ---------

[TRACE] 14:32:37:201 main.c/(2676:2676): ---------

[TRACE] 14:43:07:952 main.c/(3069:3069): ---------

[TRACE] 01:45:53:516 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:53:519 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:53:533 main.c/(5351:5351): Leyendo pagina 8, pid 0
[TRACE] 01:45:53:536 main.c/(5351:5351): Leyendo pagina 8, pid 0
[TRACE] 01:45:53:546 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:53:549 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:53:612 main.c/(5351:5351): Escribiendo pagina 8, pid 0
[TRACE] 01:45:53:614 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:53:617 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:53:635 main.c/(5351:5351): Leyendo pagina 8, pid 0
[TRACE] 01:45:53:638 main.c/(5351:5351): Leyendo pagina 8, pid 0
[TRACE] 01:45:53:643 main.c/(5351:5351): Leyendo pagina 9, pid 0
[TRACE] 01:45:53:645 main.c/(5351:5351): Leyendo pagina 9, pid 0
[TRACE] 01:45:53:652 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:53:655 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:53:719 main.c/(5351:5351): Escribiendo pagina 9, pid 0
[TRACE] 01:45:53:721 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:53:725 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:53:738 main.c/(5351:5351): Leyendo pagina 9, pid 0
[TRACE] 01:45:53:740 main.c/(5351:5351): Leyendo pagina 9, pid 0
[TRACE] 01:45:53:753 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:53:756 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:53:806 main.c/(5351:5351): Escribiendo pagina 9, pid 0
[TRACE] 01:45:53:808 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:53:810 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:53:824 main.c/(5351:5351): Leyendo pagina 9, pid 0
[TRACE] 01:45:53:827 main.c/(5351:5351): Leyendo pagina 9, pid 0
[TRACE] 01:45:53:837 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:53:839 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:53:906 main.c/(5351:5351): Escribiendo pagina 9, pid 0
[TRACE] 01:45:53:907 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:53:911 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:53:930 main.c/(5351:5351): Leyendo pagina 9, pid 0
[TRACE] 01:45:53:932 main.c/(5351:5351): Leyendo pagina 9, pid 0
[TRACE] 01:45:53:941 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:53:944 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:53:2 main.c/(5351:5351): Escribiendo pagina 9, pid 0
[TRACE] 01:45:54:4 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:54:8 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:54:21 main.c/(5351:5351): Leyendo pagina 9, pid 0
[TRACE] 01:45:54:24 main.c/(5351:5351): Leyendo pagina 9, pid 0
[TRACE] 01:45:54:37 main.c/(5351:5351): Leyendo pagina 2, pid 0
